Review,Rating
"Always wanted a good printer in my budget, and I get it. Epson provides very good printer in very less price. Thank you so much Epson, The seller & Flipkart 🥰🥰🥰😇😇😇😇.",4
"👍Epson Printer is very economical and useful for home and office.
🤙Copy print speed is normal , compared to lesser print
👌But copy print quality is nice and best
👍👌Color copy print is to good.

&&&&&
🤝thanks for best delivery service of flipcart......",5
Superb Product with Superb Command Sensation & Clear & Fantastic Printout,5
Very good nice 👍👍👍👍👍,5
Good quality.....Photo supper..Plastic body light wait.. Suggest black tank more volume.and PVC card printing option not available...,5
Very nice printer Epson l3200,5
Dameg product,1
Good printer,4
Awesome Printer,5
Super....Nice.... Printer 🖨️👌👌👌,3
"The printer comes with two large black ink bottles and one each of standard CMY.
It has some good features like inbuilt paper tray, manual feed, Wifi (by adding as a printer on your network, or by creating a hotspot on the printer itself and then connecting your phone to it). It gives you reasonable control over print and copy quality. You can change ink density so your prints consume less ink but look washed out. And here comes the catch. The print speed gets way low when you print in best q...
READ MORE",5
"One of the best printer in India. I research a lot and found the best one. Super fast speed. Please don't compare the printing speed with laser printer. In ink jet Printer category this is fastest. Colour printing is faster & better than epson printer. Single line display helps you a lot in print settings. You can get DCP -T420w @ price Rs. 1k less but i strongly suggest you to go for T520W. Both side ID/aadhaar/driving license /ration card printing function is superb. Many many customize o...
READ MORE",5
It is one among the best printer I have used. The print quality is good. I love the wireless printing feature and that's the best part. Worth more than the price,5
Excellent product print speed is fantastic but photo print speed is very slow copy quality mono and colour not good canon 2012 copy mono and colour good quality brother app good but very slow,5
Delivery boy is too good to this product,5
Good printer,5
"Don't get trapped by reviews

1-it's taking 10 minutes (yes you heard correctly ""minutes"") for color photo printing. And 3.5 to 4 mins in normal color printing.
2-engineer of brother came to my home he himself told that it will take that much time in printing.
3-even black and white printing is not up to the mark

So many issues.. Dont want to waste more of time..

Buy and repent.. Don't buy and thank me later 😊",2
"Looks like wifi card is not working, secondly, seller has given incorrect serial number in invoice.
Update : Brother executive came and resolve the problem by reinserting WLAN card. It took two minutes. He said this is known issue.",2
GOOD,4
Working absolutely fine so far. Installation was easy,5
"Canon G3012 is the same as G3010 but with two extra black bottles of ink. So, this review is applicable for both the models. The flipkart delivery was on time and packing was satisfactory. Coming to the Printer.... The setup of easy. I was waiting for the Canon guy to come and install but then I decided to install it myself. Took me 15 mins to install. The print quality is satisfactory. Wireless printing setup was a bit typical but is a one time hassle. I took out some b/w and colour prints ...
READ MORE",4
"Very Nice Product
Printer is fast and smooth colours are good in compare to other printers in the market
The big plus point of buying Canon printers that they have seprate individual cartage for black and colour ink so it saves money while servicing of the product and Extra black ink bottels are also a big advantage.",5
